Date,Raw Symbol,symbol,Allocated,Quality,exchange,entry1,entry2,entry3,DA Enabled,DA legs,DA E1 Buyback,DA E2 Buyback,DA E3 Buyback,DATriggerOffset
12-Aug,nse:amjland,AMJLAND,30000,Excellent,NSE,52,47,40,Y,1,3,3,5,1
23-Jun,BMW,BMW,30000,Excellent,BSE,47,46,40,Y,1,3,3,5,1
2-Jun,CAPITALSFB,CAPITALSFB,30000,Excellent,NSE,272,255,40,Y,1,3,3,5,1
2-Jun,COALINDIA,COALINDIA,30000,Excellent,NSE,374,360,40,Y,1,3,3,5,1
1-Jul,GULFOILLUB,GULFOILLUB,30000,Excellent,NSE,1055,998,40,Y,1,3,3,5,1
2-Aug,industower,INDUSTOWER,30000,Excellent,NSE,309,295,40,Y,1,3,3,5,1
1-Jul,INOXWIND,INOXWIND,30000,Excellent,NSE,169,165,40,Y,1,3,3,5,1
2-Jul,ITC,ITC,30000,Excellent,BSE,400,395,40,Y,1,3,3,5,1
1-Aug,Jindalsaw,JINDALSAW,30000,Excellent,NSE,205,200.5,40,Y,1,3,3,5,1
2-Jul,KPL,KPL,30000,Excellent,BSE,950,930,40,Y,1,3,3,5,1
18-Aug,BOM:532829,LEHAR,30000,Excellent,BSE,265,259,40,Y,1,3,3,5,1
1-Aug,Polyplex,POLYPLEX,30000,Excellent,NSE,1075,1045,40,Y,1,3,3,5,1
8-Jul,SOLARINDS,SOLARINDS,50000,Excellent,NSE,15500,15000,40,Y,1,3,3,5,1
7-May,SYRMA,SYRMA,30000,Excellent,NSE,450,400,40,Y,1,3,3,5,1
1-Aug,TORNTPOWER,TORNTPOWER,1,Excellent,NSE,1280,1255,40,Y,1,3,3,5,1
2-Aug,PAYTM,PAYTM,10000,Excellent,NSE,800,800,800,Y,1,3,3,5,1
3-Aug,BEL,BEL,30000,Excellent,NSE,100,100,100,Y,1,3,3,5,1
4-Aug,BAJAJHFL,BAJAJHFL,30000,Excellent,NSE,100,100,100,Y,1,3,3,5,1
