symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
JINDALSAW,INE324A01032,2025-09-11,NSE,EQ,EQ,BUY,FALSE,1,202.03,205791029,NA,NA
TATAMOTORS,INE155A01022,2025-09-10,NSE,EQ,EQ,SELL,FALSE,10,711.0,600677908,NA,NA
POLYPLEX,INE633B01018,2025-09-10,NSE,EQ,EQ,BUY,FALSE,3,1030.7,400526721,NA,NA
POLYPLEX,INE633B01018,2025-09-10,NSE,EQ,EQ,BUY,FALSE,2,1031.6,400526722,NA,NA
JINDALSAW,INE324A01032,2025-09-10,BSE,EQ,EQ,BUY,FALSE,7,203.15,81000,NA,NA
JINDALSAW,INE324A01032,2025-09-10,BSE,EQ,EQ,BUY,FALSE,9,203.2,81200,NA,NA
JINDALSAW,INE324A01032,2025-09-10,BSE,EQ,EQ,BUY,FALSE,4,203.45,81400,NA,NA
POLYPLEX,INE633B01018,2025-09-03,BSE,EQ,EQ,BUY,FALSE,1,1021.8,3270100,NA,NA
JINDALSAW,INE324A01032,2025-09-01,NSE,EQ,EQ,BUY,FALSE,20,199.77,201578432,NA,NA
OLAELEC,INE0LXG01040,2025-09-01,BSE,EQ,EQ,SELL,FALSE,50,57.68,5804600,NA,NA
POLYPLEX,INE633B01018,2025-08-22,NSE,EQ,EQ,BUY,FALSE,2,1027.0,402498817,NA,NA
OLAELEC,INE0LXG01040,2025-08-21,NSE,EQ,EQ,SELL,FALSE,100,49.83,401172145,NA,NA
TATAMOTORS,INE155A01022,2025-08-19,NSE,EQ,EQ,SELL,FALSE,5,702.6,602728086,NA,NA
JINDALSAW,INE324A01032,2025-08-19,NSE,EQ,EQ,BUY,FALSE,5,205.31,206672600,NA,NA
JINDALSAW,INE324A01032,2025-08-19,NSE,EQ,EQ,BUY,FALSE,4,205.31,206672601,NA,NA
JINDALSAW,INE324A01032,2025-08-19,NSE,EQ,EQ,BUY,FALSE,4,205.32,206672602,NA,NA
JINDALSAW,INE324A01032,2025-08-19,NSE,EQ,EQ,BUY,FALSE,7,205.32,206672603,NA,NA
TATATECH,INE142M01025,2025-08-14,NSE,EQ,EQ,BUY,FALSE,4,670.0,600127221,NA,NA
TATATECH,INE142M01025,2025-08-14,NSE,EQ,EQ,BUY,FALSE,1,670.0,600127222,NA,NA
BAJAJHFL,INE377Y01014,2025-08-14,BSE,EQ,EQ,BUY,FALSE,20,113.95,1312900,NA,NA
AARTIIND,INE769A01020,2025-08-13,NSE,EQ,EQ,BUY,FALSE,10,380.25,471694,NA,NA
OLAELEC,INE0LXG01040,2025-08-13,BSE,EQ,EQ,BUY,FALSE,20,40.56,2423900,NA,NA
TATAMOTORS,INE155A01022,2025-08-11,NSE,EQ,EQ,BUY,FALSE,5,645.0,601630270,NA,NA
TATAMOTORS,INE155A01022,2025-08-08,BSE,EQ,EQ,BUY,FALSE,1,652.4,322800,NA,NA
TATAMOTORS,INE155A01022,2025-08-08,BSE,EQ,EQ,BUY,FALSE,4,652.45,323000,NA,NA
TATAINVEST,INE672A01018,2025-08-07,NSE,EQ,EQ,SELL,FALSE,2,6920.5,601188523,NA,NA
TCS,INE467B01029,2025-08-04,NSE,EQ,EQ,BUY,FALSE,5,3051.0,605656977,NA,NA
JINDALSAW,INE324A01032,2025-08-04,NSE,EQ,EQ,BUY,FALSE,20,210.3,206528425,NA,NA
PNCINFRA,INE195J01029,2025-07-31,BSE,EQ,EQ,SELL,FALSE,8,316.6,8629900,NA,NA
PNCINFRA,INE195J01029,2025-07-31,BSE,EQ,EQ,SELL,FALSE,12,316.55,8630100,NA,NA
BAJAJHFL,INE377Y01014,2025-07-30,NSE,EQ,EQ,BUY,FALSE,30,117.0,705113,NA,NA
JINDALSAW,INE324A01032,2025-07-29,BSE,EQ,EQ,BUY,FALSE,10,215.15,87600,NA,NA
PNCINFRA,INE195J01029,2025-07-28,NSE,EQ,EQ,BUY,FALSE,3,304.35,401896381,NA,NA
PNCINFRA,INE195J01029,2025-07-28,NSE,EQ,EQ,BUY,FALSE,7,304.35,401897583,NA,NA
POLYPLEX,INE633B01018,2025-07-24,NSE,EQ,EQ,BUY,FALSE,9,1135.0,400387624,NA,NA
POLYPLEX,INE633B01018,2025-07-24,NSE,EQ,EQ,BUY,FALSE,1,1135.0,400387625,NA,NA
TATAMOTORS,INE155A01022,2025-07-23,NSE,EQ,EQ,BUY,FALSE,5,690.0,600477672,NA,NA
OLAELEC,INE0LXG01040,2025-07-23,BSE,EQ,EQ,BUY,FALSE,30,40.98,4503900,NA,NA
JINDALSAW,INE324A01032,2025-07-22,BSE,EQ,EQ,BUY,FALSE,10,229.4,559800,NA,NA
ASIANPAINT,INE021A01026,2025-07-21,BSE,EQ,EQ,SELL,FALSE,1,2370.05,4446500,NA,NA
PNCINFRA,INE195J01029,2025-07-17,BSE,EQ,EQ,SELL,FALSE,20,330.2,1794600,NA,NA
OLAELEC,INE0LXG01040,2025-07-14,NSE,EQ,EQ,BUY,FALSE,20,40.75,402532003,NA,NA
