Date,Raw Symbol,symbol,Allocated,Quality,exchange,entry1,entry2,entry3,DA Enabled,DA legs,DA E1 Buyback,DA E2 Buyback,DA E3 Buyback,DATriggerOffset
1-Sep,aadharhfc,AADHARHFC,30000,,NSE,495,485,455,Y,1,3,3,5,1
5-Sep,ACE,ACE,30000,,NSE,1040,982,955,Y,1,3,3,5,1
1-Sep,acmesolar,ACMESOLAR,30000,,NSE,283,273.5,266,Y,1,3,3,5,1
13-Jun,nse:agarind,AGARIND,1,OK,NSE,920,910,900,Y,1,3,3,5,1
12-Aug,nse:amjland,AMJLAND,30000,Excellent,NSE,54,52,47,Y,1,3,3,5,1
1-Sep,awfis,AWFIS,30000,,NSE,565,558,548,Y,1,3,3,5,1
23-Jun,AZAD,AZAD,30000,Good,NSE,1505,1450,1396,Y,1,3,3,5,1
22-Aug,nse:BBL,BBL,30000,,NSE,2800,2750,2660,Y,1,3,3,5,1
23-Jun,BMW,BMW,30000,Excellent,BSE,48,47,46,Y,1,3,3,5,1
5-May,BODALCHEM,BODALCHEM,30000,Good,NSE,65,60,55,Y,1,3,3,5,1
9-Sep,campus,CAMPUS,10000,,NSE,270,,,Y,1,3,3,5,1
2-Jun,CAPITALSFB,CAPITALSFB,30000,Excellent,NSE,282,272,255,Y,1,3,3,5,1
21-Jul,centralbk,CENTRALBK,30000,Good,NSE,36,34,33,Y,1,3,3,5,1
2-Jun,CMSINFO,CMSINFO,30000,Good,NSE,465,455,430,Y,1,3,3,5,1
2-Jun,COALINDIA,COALINDIA,30000,Excellent,NSE,385,374,360,Y,1,3,3,5,1
11-Sep,deedev,DEEDEV,30000,,NSE,272,263,258.5,Y,1,3,3,5,1
2-Sep,epigral,EPIGRAL,10000,,NSE,1800,,,Y,1,3,3,5,1
2-Jun,FINPIPE,FINPIPE,30000,Good,NSE,200,195,190,Y,1,3,3,5,1
2-Sep,Fivestar,FIVESTAR,30000,,NSE,542,532,520,Y,1,3,3,5,1
4-Sep,GAIL,GAIL,30000,,NSE,166.5,160,153.5,Y,1,3,3,5,1
1-Jul,GOACARBON,GOACARBON,1,Bad,BSE,493,485,470,Y,1,3,3,5,1
1-Jul,GULFOILLUB,GULFOILLUB,30000,Excellent,NSE,1150,1055,998,Y,1,3,3,5,1
1-Aug,hcltech,HCLTECH,30000,,NSE,1450,1410,1355,Y,1,3,3,5,1
23-Jun,IGIL,IGIL,1,OK,NSE,363,353,343,Y,1,3,3,5,1
2-Jun,IGPL,IGPL,30000,Good,NSE,430,410,400,Y,1,3,3,5,1
3-Sep,industower,INDUSTOWER,30000,,NSE,314,300,290,Y,1,3,3,5,1
1-Jul,INOXWIND,INOXWIND,30000,Excellent,NSE,175.3,169,165,Y,1,3,3,5,1
23-Jun,IRCTC,IRCTC,0,Good,NSE,778,765,750,Y,1,3,3,5,1
6-Sep,IRFC,IRFC,30000,,NSE,118,115,110,Y,1,3,3,5,1
2-Jul,ITC,ITC,30000,Excellent,BSE,408,400,395,Y,1,3,3,5,1
6-Sep,ITDC,ITDC,30000,,NSE,521,511,500,Y,1,3,3,5,1
1-Aug,Jindalsaw,JINDALSAW,30000,Excellent,NSE,209,205,200.5,Y,1,3,3,5,1
22-Jul,JSWenergy,JSWENERGY,30000,Bad,NSE,510,500,490,Y,1,3,3,5,1
18-Aug,NSE:Kitex,KITEX,30000,Good,NSE,175,165,155,Y,1,3,3,5,1
2-Jul,KPL,KPL,30000,Excellent,BSE,965,950,930,Y,1,3,3,5,1
18-Aug,BOM:532829,LEHAR,30000,Excellent,BSE,270.5,265,259,Y,1,3,3,5,1
1-Sep,Lodha,LODHA,30000,,NSE,1192,1184,1162,Y,1,3,3,5,1
1-Jul,LUXIND,LUXIND,30000,Good,NSE,1446,1425,1390,Y,1,3,3,5,1
1-Aug,Lxchem,LXCHEM,30000,OK,NSE,195,190,185,Y,1,3,3,5,1
6-Aug,m&mfin,M&MFIN,30000,OK,NSE,255,249,243,Y,1,3,3,5,1
1-Jul,NAHARINDUS,NAHARINDUS,30000,OK,BSE,108,104,100,Y,1,3,3,5,1
22-May,NCC,NCC,1,Good,NSE,230.55,223.45,215.75,Y,1,3,3,5,1
10-Sep,NLCINDIA,NLCINDIA,30000,,NSE,235,225,220,Y,1,3,3,5,1
13-Sep,BEL,BEL,30000,,NSE,373,362,355,Y,1,3,3,5,1
1-Aug,ONGC,ONGC,30000,OK,NSE,239.5,235,228,Y,1,3,3,5,1
14-Sep,paragmilk,PARAGMILK,10000,,NSE,265,,,Y,1,3,3,5,1
1-Jul,PERSISTENT,PERSISTENT,30000,Good,NSE,5250,5100,5050,Y,1,3,3,5,1
1-Aug,PFC,PFC,30000,Good,NSE,400,390,380,Y,1,3,3,5,1
1-Sep,pnbgilts,PNBGILTS,30000,,NSE,97.05,90,86,Y,1,3,3,5,1
12-Sep,PNCinfra,PNCINFRA,30000,,NSE,302.55,299,293,Y,1,3,3,5,1
1-Aug,Polyplex,POLYPLEX,30000,Excellent,NSE,1092,1075,1045,Y,1,3,3,5,1
28-Jul,PPLPHARMA,PPLPHARMA,30000,Good,NSE,192,188,183,Y,1,3,3,5,1
10-Jul,PRICOLLTD,PRICOLLTD,1,OK,NSE,456.2,445,430.55,Y,1,3,3,5,1
5-Aug,repcohome,REPCOHOME,30000,,NSE,342,325,318,Y,1,3,3,5,1
3-Jun,RPGLIFE,RPGLIFE,30000,Good,NSE,2151,2110,2075,Y,1,3,3,5,1
7-Jul,SARDAEN,SARDAEN,10000,Good,NSE,426,,,Y,1,3,3,5,1
1-Aug,shaily,SHAILY,30000,Good,NSE,1582,1550,1500,Y,1,3,3,5,1
8-Jul,SOLARINDS,SOLARINDS,50000,Excellent,NSE,16050,15500,15000,Y,1,3,3,5,1
19-Aug,sonacoms,SONACOMS,10000,Good,NSE,438,,,Y,1,3,3,5,1
1-Jul,STERTOOLS,STERTOOLS,30000,Good,NSE,315,310,300,Y,1,3,3,5,1
5-Sep,supriya,SUPRIYA,30000,,NSE,630,599,582,Y,1,3,3,5,1
7-May,SYRMA,SYRMA,30000,Excellent,NSE,505,450,400,Y,1,3,3,5,1
23-Jun,TATAMOTORS,TATAMOTORS,0,Good,NSE,660,635,600,Y,1,3,3,5,1
23-Jun,TATATECH,TATATECH,0,Good,NSE,700,690,680,Y,1,3,3,5,1
10-Jul,TCS,TCS,10000,Good,NSE,3050,,,Y,1,3,3,5,1
1-Aug,TORNTPOWER,TORNTPOWER,1,Excellent,NSE,1305,1280,1255,Y,1,3,3,5,1
3-Jun,VBL,VBL,30000,OK,NSE,470,460,425,Y,1,3,3,5,1
2-Jun,WELSPUNLIV,WELSPUNLIV,1,Good,NSE,118,112,108,Y,1,3,3,5,1
22-May,WIPRO,WIPRO,30000,Good,NSE,243,240,235,Y,1,3,3,5,1
4-Sep,yuken,YUKEN,30000,,NSE,975,958.5,945,Y,1,3,3,5,1
5-Sep,zaggle,ZAGGLE,30000,,NSE,370,359,351,Y,1,3,3,5,1
