symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
ZOMATO,INE758T01015,2025-04-01,NSE,EQ,EQ,buy,False,10.0,202.18,600195903,1300000000843013,2025-04-01T09:16:06
IRFC,INE053F01010,2025-04-01,NSE,EQ,EQ,buy,False,10.0,123.19,200251401,1100000001154852,2025-04-01T09:16:29
BMW,INE374E01021,2025-04-01,BSE,EQ,B,buy,False,20.0,47.4,1044800,1743478200050058396,2025-04-01T09:21:22
JPPOWER,INE351F01018,2025-04-01,BSE,EQ,A,buy,False,50.0,14.5,1815900,1743478200050829800,2025-04-01T09:29:36
INSECTICID,INE070I01018,2025-04-01,BSE,EQ,B,buy,False,5.0,603.0,1992500,1743478200001645790,2025-04-01T09:49:08
HINDCOPPER,INE531E01026,2025-04-01,NSE,EQ,EQ,buy,False,4.0,222.0,205939231,1100000049718141,2025-04-01T12:52:23
HINDCOPPER,INE531E01026,2025-04-01,NSE,EQ,EQ,buy,False,6.0,222.0,205939305,1100000049718141,2025-04-01T12:52:23
ZOMATO,INE758T01015,2025-04-02,BSE,EQ,A,buy,False,10.0,202.9,841200,1743564600007442158,2025-04-02T09:31:06
M&MFIN,INE774D01024,2025-04-03,NSE,EQ,EQ,buy,False,30.0,264.6,400412249,1200000002239223,2025-04-03T09:18:32
HERANBA-BE,INE694N01015,2025-04-03,NSE,EQ,BE,buy,False,10.0,243.99,200908008,1100000005721555,2025-04-03T09:28:20
POONAWALLA,INE511C01022,2025-04-03,NSE,EQ,EQ,sell,False,55.0,353.05,401745602,1200000012572038,2025-04-03T09:45:17
M&MFIN,INE774D01024,2025-04-03,NSE,EQ,EQ,buy,False,20.0,263.0,402004788,1200000014549436,2025-04-03T09:51:11
HINDCOPPER,INE531E01026,2025-04-04,NSE,EQ,EQ,buy,False,10.0,218.35,200410565,1100000002609677,2025-04-04T09:19:48
TATAPOWER,INE245A01021,2025-04-04,NSE,EQ,EQ,sell,False,40.0,378.0,602367748,1300000015857254,2025-04-04T10:02:13
