Date,Raw Symbol,symbol,Allocated,Quality,exchange,entry1,entry2,entry3,DA Enabled,DA legs,DA E1 Buyback,DA E2 Buyback,DA E3 Buyback,DATriggerOffset
13-Jun,nse:agarind,AGARIND,1,OK,NSE,920,910,900,Y,1,3,3,5,1
12-Aug,nse:amjland,AMJLAND,30000,Excellent,NSE,54,52,47,Y,1,3,3,5,1
1-Aug,AWFIS,AWFIS,30000,Good,NSE,579,570,562,Y,1,3,3,5,1
23-Jun,AZAD,AZAD,30000,Good,NSE,1505,1450,1396,Y,1,3,3,5,1
22-Aug,nse:BBL,BBL,30000,,NSE,2800,2750,2660,Y,1,3,3,5,1
23-Jun,BMW,BMW,30000,Excellent,BSE,48,47,46,Y,1,3,3,5,1
5-May,BODALCHEM,BODALCHEM,30000,Good,NSE,65,60,55,Y,1,3,3,5,1
2-Jun,CAPITALSFB,CAPITALSFB,30000,Excellent,NSE,282,272,255,Y,1,3,3,5,1
21-Jul,centralbk,CENTRALBK,30000,Good,NSE,38,37,36,Y,1,3,3,5,1
2-Jun,CMSINFO,CMSINFO,30000,Good,NSE,465,455,430,Y,1,3,3,5,1
2-Jun,COALINDIA,COALINDIA,30000,Excellent,NSE,385,375,360,Y,1,3,3,5,1
22-Aug,Deedev,DEEDEV,30000,Good,NSE,272,266,259,N,1,3,3,5,1
2-Jun,FINPIPE,FINPIPE,30000,Good,NSE,200,195,190,Y,1,3,3,5,1
1-Aug,fivestar,FIVESTAR,30000,Good,NSE,590,580,565,Y,1,3,3,5,1
1-Jul,GOACARBON,GOACARBON,1,Bad,BSE,493,485,470,Y,1,3,3,5,1
1-Jul,GULFOILLUB,GULFOILLUB,30000,Excellent,NSE,1150,1055,998,Y,1,3,3,5,1
1-Aug,hcltech,HCLTECH,30000,,NSE,1450,1410,1355,Y,1,3,3,5,1
23-Jun,IGIL,IGIL,1,OK,NSE,363,353,343,Y,1,3,3,5,1
2-Jun,IGPL,IGPL,30000,Good,NSE,435,410,400,Y,1,3,3,5,1
2-Aug,industower,INDUSTOWER,30000,Excellent,NSE,322,309,295,Y,1,3,3,5,1
1-Jul,INOXWIND,INOXWIND,30000,Excellent,NSE,175.3,169,165,Y,1,3,3,5,1
23-Jun,IRCTC,IRCTC,0,Good,NSE,778,765,750,Y,1,3,3,5,1
1-Jul,IRFC,IRFC,30000,OK,NSE,116,110,105,Y,1,3,3,5,1
2-Jul,ITC,ITC,30000,Excellent,BSE,415,409,395,Y,1,3,3,5,1
22-Aug,nse:ITDC,ITDC,30000,Good,NSE,545,540,532,Y,1,3,3,5,1
1-Aug,Jindalsaw,JINDALSAW,30000,Excellent,NSE,209,205,200.5,Y,1,3,3,5,1
22-Jul,JSWenergy,JSWENERGY,30000,Bad,NSE,530,510,490,Y,1,3,3,5,1
18-Aug,NSE:Kitex,KITEX,30000,Good,NSE,179.85,165,155,Y,1,3,3,5,1
2-Jul,KPL,KPL,30000,Excellent,BSE,990,970,955,Y,1,3,3,5,1
18-Aug,BOM:532829,LEHAR,30000,Excellent,BSE,270.5,265,259,Y,1,3,3,5,1
12-Aug,LODHA,LODHA,30000,Good,NSE,1205,1190,1180,Y,1,3,3,5,1
1-Jul,LUXIND,LUXIND,30000,Good,NSE,1446,1425,1390,Y,1,3,3,5,1
1-Aug,Lxchem,LXCHEM,30000,OK,NSE,195,190,185,Y,1,3,3,5,1
6-Aug,m&mfin,M&MFIN,30000,OK,NSE,255,249,243,Y,1,3,3,5,1
1-Jul,NAHARINDUS,NAHARINDUS,30000,OK,BSE,115,110,100,Y,1,3,3,5,1
22-May,NCC,NCC,1,Good,NSE,230.55,223.45,215.75,Y,1,3,3,5,1
1-Aug,ONGC,ONGC,30000,OK,NSE,239.5,235,228,Y,1,3,3,5,1
4-Aug,paragmilk,PARAGMILK,30000,,NSE,210,200,193,Y,1,3,3,5,1
1-Jul,PERSISTENT,PERSISTENT,30000,Good,NSE,5605,5400,5240,Y,1,3,3,5,1
1-Aug,PFC,PFC,30000,Good,NSE,401,393,385,Y,1,3,3,5,1
1-Aug,pncinfra,PNCINFRA,30000,Good,NSE,298,292,282,Y,1,3,3,5,1
1-Aug,Polyplex,POLYPLEX,30000,Excellent,NSE,1092,1075,1045,Y,1,3,3,5,1
28-Jul,PPLPHARMA,PPLPHARMA,30000,Good,NSE,195,190,185,Y,1,3,3,5,1
10-Jul,PRICOLLTD,PRICOLLTD,1,OK,NSE,456.2,445,430.55,Y,1,3,3,5,1
5-Aug,repcohome,REPCOHOME,30000,,NSE,342,325,318,Y,1,3,3,5,1
3-Jun,RPGLIFE,RPGLIFE,30000,Good,NSE,2151,2110,2075,Y,1,3,3,5,1
7-Jul,SARDAEN,SARDAEN,30000,Good,NSE,426,,,Y,1,3,3,5,1
1-Aug,shaily,SHAILY,30000,Good,NSE,1582,1550,1500,Y,1,3,3,5,1
8-Jul,SOLARINDS,SOLARINDS,50000,Excellent,NSE,16050,15500,15000,Y,1,3,3,5,1
19-Aug,sonacoms,SONACOMS,30000,Good,NSE,455,,,Y,1,3,3,5,1
1-Jul,STERTOOLS,STERTOOLS,30000,Good,NSE,345,331,325,Y,1,3,3,5,1
7-May,SYRMA,SYRMA,30000,Excellent,NSE,505,450,400,Y,1,3,3,5,1
23-Jun,TATAMOTORS,TATAMOTORS,0,Good,NSE,660,635,600,Y,1,3,3,5,1
23-Jun,TATATECH,TATATECH,0,Good,NSE,700,690,680,Y,1,3,3,5,1
10-Jul,TCS,TCS,30000,Good,NSE,3350,,,Y,1,3,3,5,1
1-Aug,TORNTPOWER,TORNTPOWER,1,Excellent,NSE,1305,1280,1255,Y,1,3,3,5,1
3-Jun,VBL,VBL,30000,OK,NSE,473,460,425,Y,1,3,3,5,1
2-Jun,WELSPUNLIV,WELSPUNLIV,1,Good,NSE,118,112,108,Y,1,3,3,5,1
22-May,WIPRO,WIPRO,30000,Good,NSE,247,240,235,Y,1,3,3,5,1
11-Aug,Yuken,YUKEN,30000,,NSE,990,950,899,Y,1,3,3,5,1
1-Aug,Zaggle,ZAGGLE,30000,Good,NSE,375,367,359,Y,1,3,3,5,1
