Date,Symbol,Invested Amount,Absolute Profit,Yield Per Day,Age of Stock,Profit Percentage,ROI per day
7/15/2025,AARTIIND,40887.24997,-9254.24997,-30.9506688,299,-22.63358376,-0.075697605
7/15/2025,AGARIND,18977,-483,-28.41176471,17,-2.545186278,-0.14971684
7/15/2025,AWFIS,9330,206.25,29.46428571,7,2.210610932,0.315801562
7/15/2025,BAJAJHFL,16390.79996,-389.759964,-2.405925704,162,-2.377919106,-0.014678513
7/15/2025,CAPITALSFB,11280,-58,-4.833333333,12,-0.514184397,-0.0428487
7/15/2025,COALINDIA,29497.99993,-127.799928,-4.733330667,27,-0.433249469,-0.016046277
7/15/2025,DATAPATTNS,8487.9,128.7,128.7,1,1.516276111,1.516276111
7/15/2025,DEEDEV,9724.300014,253.249986,253.249986,1,2.604300419,2.604300419
7/15/2025,ELECTCAST,18497.5,-1767.5,-11.55228758,153,-9.555345317,-0.062453237
7/15/2025,FINPIPE,19485.71994,113.280058,18.88000967,6,0.581349103,0.096891517
7/15/2025,GAEL,17112.49995,-381.49995,-7.947915625,48,-2.229364214,-0.046445088
7/15/2025,GOACARBON,19530,198,15.23076923,13,1.013824885,0.07798653
7/15/2025,HGINFRA,9562.399992,162.100008,14.73636436,11,1.695181211,0.154107383
7/15/2025,INFY,13059.2,-380.8,-14.1037037,27,-2.915951973,-0.107998221
7/15/2025,INOXWIND,10020.6,-616.17,0,0,-6.149032992,0
7/15/2025,IRCTC,38434.3,-7484.3,-23.31557632,321,-19.47297076,-0.06066346
7/15/2025,ITC,19159,257.6,6.962162162,37,1.344537815,0.03633886
7/15/2025,ITDC,9659.85,9.75,0.75,13,0.100933244,0.007764096
7/15/2025,JINDALSAW,12100,-852.5,-44.86842105,19,-7.045454545,-0.370813397
7/15/2025,LODHA,8394,202.2,13.48,15,2.408863474,0.160590898
7/15/2025,LUXIND,8676,142.2,10.93846154,13,1.639004149,0.126077242
7/15/2025,LXCHEM,11614.14,157.26,5.824444444,27,1.354039128,0.050149597
7/15/2025,NAHARINDUS-BE,9271,-60.59,0,0,-0.653543307,0
7/15/2025,NCC,19110.01,337.140005,11.23800017,30,1.764206325,0.058806877
7/15/2025,PERSISTENT,11160,13.5,3.375,4,0.120967742,0.030241935
7/15/2025,PNCINFRA,25038,-558,-2.87628866,194,-2.228612509,-0.011487693
7/15/2025,POLYPLEX,27913.19999,-1732.299993,-86.61499965,20,-6.206024366,-0.310301218
7/15/2025,PRICOLLTD,9572.85,36.75,36.75,1,0.383898212,0.383898212
7/15/2025,RAJESHEXPO,33522,-13012,-56.57391304,230,-38.81629974,-0.168766521
7/15/2025,SHAILY,28922.59999,-1171.799987,-53.26363577,22,-4.051502934,-0.184159224
7/15/2025,SOLARINDS,31550,-800,-160,5,-2.535657686,-0.507131537
7/15/2025,TATAMOTORS,52964.85,-11900.85,-44.40615672,268,-22.4693358,-0.083840805
7/15/2025,TATATECH,29577.95,-275.95,-2.442035398,113,-0.932958505,-0.00825627
7/15/2025,VBL,19122.5,135.200001,3.862857171,35,0.707020531,0.020200587
7/16/2025,AARTIIND,40887.24997,-9005.74997,-30.01916657,300,-22.02581484,-0.073419383
7/16/2025,AGARIND,18977,-308,-17.11111111,18,-1.623017337,-0.09016763
7/16/2025,AWFIS,9330,329.25,41.15625,8,3.528938907,0.441117363
7/16/2025,BAJAJHFL,16390.79996,-257.759964,-1.581349472,163,-1.572589285,-0.009647787
7/16/2025,CAPITALSFB,11280,-46,-3.538461538,13,-0.407801418,-0.03136934
