symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
BAJAJHFL,INE377Y01014,2025-06-02,NSE,EQ,EQ,buy,false,1.000000,122.390000,5243244,1000000049655914,2025-06-02T13:34:25
YUKEN,INE384C01016,2025-06-03,NSE,EQ,EQ,sell,false,11.000000,1053.100000,601487562,1300000009407360,2025-06-03T09:37:33
YUKEN,INE384C01016,2025-06-03,NSE,EQ,EQ,sell,false,2.000000,1052.800000,601487563,1300000009407360,2025-06-03T09:37:33
HINDCOPPER,INE531E01026,2025-06-03,NSE,EQ,EQ,sell,false,50.000000,252.000000,202925331,1100000021780954,2025-06-03T10:16:40
HERANBA-T,INE694N01015,2025-06-03,BSE,EQ,T,sell,false,15.000000,298.800000,161900,1748923200000000043,2025-06-03T10:34:04
FINPIPE,INE183A01024,2025-06-04,NSE,EQ,EQ,buy,false,46.000000,217.670000,200265366,1100000000276190,2025-06-04T09:15:00
FIVESTAR,INE128S01021,2025-06-04,NSE,EQ,EQ,buy,false,4.000000,684.950000,200045560,1100000000321337,2025-06-04T09:15:03
ITC,INE154A01025,2025-06-04,NSE,EQ,EQ,buy,false,23.000000,418.000000,200062435,1100000000411310,2025-06-04T09:15:10
IRFC,INE053F01010,2025-06-04,NSE,EQ,EQ,sell,false,120.000000,140.100000,201129580,1100000008594460,2025-06-04T09:35:32
BBL,INE464A01036,2025-06-04,NSE,EQ,EQ,buy,false,1.000000,2899.900000,2531152,1000000022887552,2025-06-04T10:45:12
COALINDIA,INE522F01014,2025-06-04,NSE,EQ,EQ,buy,false,25.000000,393.450000,3695398,1000000034107470,2025-06-04T12:02:41
PNCINFRA,INE195J01029,2025-06-05,NSE,EQ,EQ,sell,false,10.000000,300.000000,401362222,1200000011136622,2025-06-05T09:47:37
VBL,INE200M01039,2025-06-05,NSE,EQ,EQ,buy,false,21.000000,472.500000,601956528,1300000013632358,2025-06-05T09:53:40
PNCINFRA,INE195J01029,2025-06-05,NSE,EQ,EQ,sell,false,10.000000,316.500000,402488164,1200000021261452,2025-06-05T10:37:59
BBL,INE464A01036,2025-06-06,NSE,EQ,EQ,sell,false,1.000000,3039.300000,492710,1000000002956161,2025-06-06T09:19:37
RPGLIFE,INE105J01010,2025-06-06,NSE,EQ,EQ,buy,false,1.000000,2138.300000,606178760,1300000051925267,2025-06-06T13:14:03
RPGLIFE,INE105J01010,2025-06-06,NSE,EQ,EQ,buy,false,3.000000,2138.400000,606178761,1300000051925267,2025-06-06T13:14:03
FIVESTAR,INE128S01021,2025-06-06,NSE,EQ,EQ,sell,false,24.000000,735.000000,206958039,1100000059622334,2025-06-06T13:21:28
PNCINFRA,INE195J01029,2025-06-09,NSE,EQ,EQ,sell,false,10.000000,318.850000,402215091,1200000016805863,2025-06-09T10:05:35
JPPOWER,INE351F01018,2025-06-10,BSE,EQ,A,sell,false,800.000000,17.300000,1612100,1749526200005620496,2025-06-10T09:22:56
DHARMAJ-BE,INE00OQ01016,2025-06-10,NSE,EQ,BE,sell,false,50.000000,263.000000,205330024,1100000039381063,2025-06-10T12:05:31
DHARMAJ-BE,INE00OQ01016,2025-06-10,NSE,EQ,BE,sell,false,30.000000,263.000000,205448227,1100000039381063,2025-06-10T12:05:31
ELECTCAST,INE086A01029,2025-06-10,BSE,EQ,A,sell,false,30.000000,116.050000,6223300,1749541090271808035,2025-06-10T14:17:13
ELECTCAST,INE086A01029,2025-06-11,NSE,EQ,EQ,sell,false,20.000000,123.570000,204147007,1100000032422256,2025-06-11T11:19:11
M&MFIN,INE774D01024,2025-06-12,NSE,EQ,EQ,sell,false,55.000000,275.800000,403600903,1200000037343592,2025-06-12T11:45:37
M&MFIN,INE774D01024,2025-06-12,NSE,EQ,EQ,sell,false,3.000000,275.800000,403600901,1200000037343592,2025-06-12T11:45:37
M&MFIN,INE774D01024,2025-06-12,NSE,EQ,EQ,sell,false,2.000000,275.800000,403600902,1200000037343592,2025-06-12T11:45:37
SHAILY,INE151G01028,2025-06-12,NSE,EQ,EQ,buy,false,1.000000,1775.900000,606599754,1300000052877144,2025-06-12T13:07:00
SHAILY,INE151G01028,2025-06-12,NSE,EQ,EQ,buy,false,1.000000,1775.900000,606599752,1300000052877144,2025-06-12T13:07:00
SHAILY,INE151G01028,2025-06-12,NSE,EQ,EQ,buy,false,1.000000,1775.900000,606599753,1300000052877144,2025-06-12T13:07:00
SHAILY,INE151G01028,2025-06-12,NSE,EQ,EQ,buy,false,4.000000,1776.000000,606599755,1300000052877144,2025-06-12T13:07:00
BBL,INE464A01036,2025-06-12,NSE,EQ,EQ,buy,false,3.000000,2967.100000,5467551,1000000051466576,2025-06-12T14:09:31
TATATECH,INE142M01025,2025-06-12,NSE,EQ,EQ,sell,false,3.000000,765.350000,609466871,1300000076741910,2025-06-12T14:58:56
COALINDIA,INE522F01014,2025-06-13,BSE,EQ,A,buy,false,25.000000,388.150000,238600,1749785400114041168,2025-06-13T09:15:09
NCC,INE868B01028,2025-06-13,NSE,EQ,EQ,buy,false,42.000000,226.230000,400083583,1200000000378827,2025-06-13T09:15:11
INDUSTOWER,INE121J01017,2025-06-13,NSE,EQ,EQ,buy,false,26.000000,376.650000,200124924,1100000000515722,2025-06-13T09:15:11
ITC,INE154A01025,2025-06-13,NSE,EQ,EQ,buy,false,23.000000,415.000000,208367812,1100000073728910,2025-06-13T14:06:20
VBL,INE200M01039,2025-06-16,NSE,EQ,EQ,buy,false,20.000000,460.000000,603610508,1300000031102552,2025-06-16T10:42:28
BBL,INE464A01036,2025-06-17,NSE,EQ,EQ,buy,false,3.000000,2950.000000,41298,1000000000274945,2025-06-17T09:15:03
POLYPLEX,INE633B01018,2025-06-17,NSE,EQ,EQ,buy,false,7.000000,1250.000000,404255606,1200000043683493,2025-06-17T12:45:21
NCC,INE868B01028,2025-06-18,NSE,EQ,EQ,buy,false,43.000000,223.450000,403562340,1200000002684421,2025-06-18T09:20:15
INFY,INE009A01021,2025-06-18,NSE,EQ,EQ,buy,false,8.000000,1632.400000,203751436,1100000036496897,2025-06-18T11:21:03
RPGLIFE,INE105J01010,2025-06-18,NSE,EQ,EQ,sell,false,4.000000,2300.000000,603774480,1300000034872026,2025-06-18T11:32:24
LXCHEM,INE576O01020,2025-06-18,NSE,EQ,EQ,buy,false,1.000000,193.580000,403156552,1200000039062028,2025-06-18T11:58:44
LXCHEM,INE576O01020,2025-06-18,NSE,EQ,EQ,buy,false,52.000000,193.570000,403156551,1200000039062028,2025-06-18T11:58:44
LXCHEM,INE576O01020,2025-06-18,NSE,EQ,EQ,buy,false,7.000000,193.560000,403156550,1200000039062028,2025-06-18T11:58:44
BAJAJHFL,INE377Y01014,2025-06-18,NSE,EQ,EQ,buy,false,20.000000,120.530000,2832759,1000000032845106,2025-06-18T12:00:27
TORNTPOWER,INE813H01021,2025-06-18,NSE,EQ,EQ,buy,false,7.000000,1385.000000,606269402,1300000049951631,2025-06-18T13:00:32
FINPIPE,INE183A01024,2025-06-19,NSE,EQ,EQ,sell,false,46.000000,230.400000,200205529,1100000001625097,2025-06-19T09:17:01
BBL,INE464A01036,2025-06-19,NSE,EQ,EQ,buy,false,4.000000,2855.000000,1862186,1000000019599821,2025-06-19T10:33:19
AGARIND,INE204E01012,2025-06-19,NSE,EQ,EQ,buy,false,10.000000,955.000000,3287140,1000000036870884,2025-06-19T12:18:46
INDUSTOWER,INE121J01017,2025-06-19,NSE,EQ,EQ,sell,false,26.000000,389.500000,208841183,1100000087690568,2025-06-19T15:19:39
SYRMA,INE0DYJ01015,2025-06-20,NSE,EQ,EQ,buy,false,18.000000,505.000000,600658210,1300000005133472,2025-06-20T09:24:10
