symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
BBL,INE464A01036,7/2/2025,BSE,EQ,A,sell,FALSE,4,3039,2392400,1.75E+18,2025-07-02T10:16:22
BBL,INE464A01036,7/2/2025,BSE,EQ,A,sell,FALSE,1,3039.05,2392200,1.75E+18,2025-07-02T10:16:22
ITDC,INE353K01014,7/2/2025,NSE,EQ,EQ,buy,FALSE,1,603.7,207069709,1.1E+15,2025-07-02T14:41:38
ITDC,INE353K01014,7/2/2025,NSE,EQ,EQ,buy,FALSE,1,603.75,207069710,1.1E+15,2025-07-02T14:41:38
ITDC,INE353K01014,7/2/2025,NSE,EQ,EQ,buy,FALSE,9,603.8,207069711,1.1E+15,2025-07-02T14:41:38
ITDC,INE353K01014,7/2/2025,NSE,EQ,EQ,buy,FALSE,1,603.6,207069707,1.1E+15,2025-07-02T14:41:38
ITDC,INE353K01014,7/2/2025,NSE,EQ,EQ,buy,FALSE,4,603.65,207069708,1.1E+15,2025-07-02T14:41:38
CAPITALSFB,INE646H01017,7/3/2025,NSE,EQ,EQ,buy,FALSE,40,282,442560,1E+15,2025-07-03T09:22:56
GOACARBON,INE426D01013,7/3/2025,BSE,EQ,B,buy,FALSE,18,483.5,17161900,1.75E+18,2025-07-03T13:33:26
GOACARBON,INE426D01013,7/3/2025,BSE,EQ,B,buy,FALSE,2,483.5,15285100,1.75E+18,2025-07-03T13:33:26
HERANBA,INE694N01015,7/4/2025,BSE,EQ,B,sell,FALSE,40,368,10002300,1.75E+18,2025-07-04T13:13:33
HGINFRA,INE926X01010,7/4/2025,NSE,EQ,EQ,buy,FALSE,8,1062.5,206439805,1.1E+15,2025-07-04T14:46:08
HGINFRA,INE926X01010,7/4/2025,NSE,EQ,EQ,buy,FALSE,1,1062.4,206439804,1.1E+15,2025-07-04T14:46:08
SHAILY,INE151G01028,7/7/2025,NSE,EQ,EQ,buy,FALSE,3,1645,600877782,1.3E+15,2025-07-07T09:30:29
AGARIND,INE204E01012,7/7/2025,NSE,EQ,EQ,buy,FALSE,10,942.7,2868993,1E+15,2025-07-07T11:53:45
FINPIPE,INE183A01024,7/7/2025,NSE,EQ,EQ,buy,FALSE,3,207.3,204385006,1.1E+15,2025-07-07T11:54:07
FINPIPE,INE183A01024,7/7/2025,NSE,EQ,EQ,buy,FALSE,43,207.3,204385007,1.1E+15,2025-07-07T11:54:07
POLYPLEX,INE633B01018,7/7/2025,NSE,EQ,EQ,buy,FALSE,8,1185.4,403184851,1.2E+15,2025-07-07T11:54:30
NAHARINDUS-T,INE289A01011,7/7/2025,BSE,EQ,T,buy,FALSE,73,127,5583200,1.75E+18,2025-07-07T12:02:32
ELECTCAST,INE086A01029,7/7/2025,NSE,EQ,EQ,buy,FALSE,10,123.79,206114359,1.1E+15,2025-07-07T13:29:36
AWFIS,INE108V01019,7/8/2025,NSE,EQ,EQ,buy,FALSE,15,622,876257,1E+15,2025-07-08T09:35:58
COALINDIA,INE522F01014,7/8/2025,NSE,EQ,EQ,buy,FALSE,26,383,2779500,1E+15,2025-07-08T11:08:28
INOXWIND,INE066P01011,7/8/2025,NSE,EQ,EQ,buy,FALSE,57,175.8,207295448,1.1E+15,2025-07-08T14:51:56
SARDAEN,INE385C01021,7/9/2025,NSE,EQ,EQ,buy,FALSE,23,426,600174337,1.3E+15,2025-07-09T09:15:10
SHAILY,INE151G01028,7/9/2025,NSE,EQ,EQ,buy,FALSE,2,1618.4,607624855,1.3E+15,2025-07-09T14:56:31
SAIL,INE114A01011,7/10/2025,NSE,EQ,EQ,sell,FALSE,78,135.15,602148668,1.3E+15,2025-07-10T10:10:44
SOLARINDS,INE343H01029,7/10/2025,NSE,EQ,EQ,buy,FALSE,1,16050,605258482,1.3E+15,2025-07-10T13:15:16
PERSISTENT,INE262H01021,7/11/2025,NSE,EQ,EQ,buy,FALSE,1,5580,400030150,1.2E+15,2025-07-11T09:15:02
FINPIPE,INE183A01024,7/11/2025,NSE,EQ,EQ,buy,FALSE,48,207.29,200517696,1.1E+15,2025-07-11T09:21:17
BAJAJHFL,INE377Y01014,7/11/2025,NSE,EQ,EQ,buy,FALSE,10,121.2,1839228,1E+15,2025-07-11T10:16:34
SARDAEN,INE385C01021,7/11/2025,NSE,EQ,EQ,sell,FALSE,23,458,602276659,1.3E+15,2025-07-11T10:18:35
PERSISTENT,INE262H01021,7/11/2025,NSE,EQ,EQ,buy,FALSE,1,5580,403015554,1.2E+15,2025-07-11T10:20:32
SOLARINDS,INE343H01029,7/11/2025,NSE,EQ,EQ,buy,FALSE,1,15500,603663386,1.3E+15,2025-07-11T11:03:54
PNCINFRA,INE195J01029,7/11/2025,NSE,EQ,EQ,buy,FALSE,10,299.9,403101268,1.2E+15,2025-07-11T11:14:47
IGIL,INE0Q9301021,7/11/2025,NSE,EQ,EQ,sell,FALSE,8,385,204907245,1.1E+15,2025-07-11T12:04:24
IGIL,INE0Q9301021,7/11/2025,NSE,EQ,EQ,sell,FALSE,4,385,204881290,1.1E+15,2025-07-11T12:04:24
IGIL,INE0Q9301021,7/11/2025,NSE,EQ,EQ,sell,FALSE,3,385,204899849,1.1E+15,2025-07-11T12:04:24
IGIL,INE0Q9301021,7/11/2025,NSE,EQ,EQ,sell,FALSE,1,385,204899855,1.1E+15,2025-07-11T12:04:24
IGIL,INE0Q9301021,7/11/2025,NSE,EQ,EQ,sell,FALSE,11,385,204902878,1.1E+15,2025-07-11T12:04:24
IGIL,INE0Q9301021,7/11/2025,NSE,EQ,EQ,sell,FALSE,1,385,204902891,1.1E+15,2025-07-11T12:04:24
PRICOLLTD,,7/14/2025,NSE,EQ,EQ,BUY,FALSE,21,455.85,400092017,2.50714E+14,7/14/2025 9:15
DATAPATTNS,,7/14/2025,NSE,EQ,EQ,BUY,FALSE,3,2829.3,200157294,2.50714E+14,7/14/2025 9:15
DEEDEV,,7/14/2025,NSE,EQ,EQ,BUY,FALSE,14,294.65,200776197,2.50714E+14,7/14/2025 9:24
DEEDEV,,7/14/2025,NSE,EQ,EQ,BUY,FALSE,2,294.65,200776198,2.50714E+14,7/14/2025 9:24
DEEDEV,,7/14/2025,NSE,EQ,EQ,BUY,FALSE,1,294.7,200776199,2.50714E+14,7/14/2025 9:24
DEEDEV,,7/14/2025,NSE,EQ,EQ,BUY,FALSE,1,294.7,200776200,2.50714E+14,7/14/2025 9:24
DEEDEV,,7/14/2025,NSE,EQ,EQ,BUY,FALSE,15,294.7,200776201,2.50714E+14,7/14/2025 9:24
ELECTCAST,,7/14/2025,BSE,EQ,EQ,BUY,FALSE,10,121.15,2757400,2.50714E+14,7/14/2025 11:39
INOXWIND,,7/15/2025,NSE,EQ,EQ,BUY,FALSE,58,165,207806230,2.50715E+14,7/15/2025 14:54
ELECTCAST,,7/16/2025,BSE,EQ,EQ,BUY,FALSE,10,121,581100,2.50716E+14,7/16/2025 9:19
TATATECH,,7/17/2025,BSE,EQ,EQ,SELL,FALSE,5,730.3,1596700,2.50717E+14,7/17/2025 9:57
INOXWIND,,7/17/2025,BSE,EQ,EQ,SELL,FALSE,15,168.35,2220300,2.50717E+14,7/17/2025 10:16
LXCHEM,,7/17/2025,NSE,EQ,EQ,SELL,FALSE,60,201.78,402101797,2.50717E+14,7/17/2025 10:22
